ID,Text
1,I absolutely love this product
2,The service was terrible
3,Package arrived yesterday
4,Amazing customer support
5,Not worth the money
6,The event starts at 4 PM
7,Very satisfied with the results
8,The website keeps crashing
9,Average experience overall
10,Highly recommended
11,I regret purchasing this
12,The product functions as expected
13,Exceptional quality
14,Customer service was rude
15,The store closes at 6 PM
16,Best purchase I've made
17,Waste of money
18,The meeting begins tomorrow
19,Fast delivery and great support
20,Very disappointing
